item_id,post_id,actual_topic,text_no_stopwords,model,dominant_latent_topic,dominant_topic_probability,latent_topic_0_prob,latent_topic_1_prob,latent_topic_2_prob,latent_topic_3_prob
95,44384052,Artificial Intelligence,don claude open ai models,lda,2,0.465948,0.042634,0.042155,0.465948,0.449262
96,44384049,Artificial Intelligence,idea openai execution failed let anthropic attempt,lda,2,0.871304,0.041687,0.041691,0.871304,0.045317
97,43741101,Artificial Intelligence,refuse use ai artificial intelligence enables encourages natural stupidity,lda,0,0.469297,0.469297,0.042741,0.045177,0.442784
98,44227189,Artificial Intelligence,search large language model instead llm,lda,2,0.890895,0.036816,0.035725,0.890895,0.036564
99,44418102,Artificial Intelligence,thankfully satellites machine learning dark days,lda,2,0.84591,0.051894,0.052157,0.84591,0.050039
100,44364976,Artificial Intelligence,opt sync self hosted server machine learning probably similar,lda,2,0.91598,0.028027,0.02799,0.91598,0.028003
101,44309408,Artificial Intelligence,zero yurts mongolia using machine learning,lda,2,0.847488,0.051529,0.050008,0.847488,0.050975
102,44276415,Artificial Intelligence,entirety machine learning fits just,lda,2,0.793147,0.06982,0.06841,0.793147,0.068624
103,44095286,Artificial Intelligence,similar repo machine learning ai,lda,2,0.849511,0.050189,0.050143,0.849511,0.050157
104,44085871,Artificial Intelligence,zealous autoconfig learning captcha,lda,2,0.624993,0.125002,0.125002,0.624993,0.125003
105,44075459,Artificial Intelligence,generalization formal concept machine learning measurable,lda,2,0.812461,0.062511,0.062513,0.812461,0.062515
106,44029009,Artificial Intelligence,works using machine learning thebtopic,lda,2,0.848161,0.050838,0.05001,0.848161,0.050992
107,43540791,Artificial Intelligence,article says chatgpt doesn include users api,lda,3,0.903516,0.032949,0.031584,0.03195,0.903516
108,43538532,Artificial Intelligence,chinese unable visit chatgpt,lda,3,0.740967,0.089157,0.085617,0.084259,0.740967
109,43534845,Artificial Intelligence,building quickest ai chrome extension 700k downloads,lda,0,0.839528,0.839528,0.051081,0.057263,0.052128
110,43523937,Artificial Intelligence,don ask chatgpt,lda,3,0.810935,0.063103,0.063081,0.062881,0.810935
111,43511008,Artificial Intelligence,pay chatgpt pay,lda,2,0.80493,0.062511,0.062513,0.80493,0.070046
112,43506960,Artificial Intelligence,emdashes rise thanks people copying pasting chatgpt,lda,3,0.809801,0.063251,0.063467,0.063481,0.809801
113,43502563,Artificial Intelligence,people said chatgpt released,lda,3,0.846756,0.050449,0.050573,0.052222,0.846756
114,43539535,Artificial Intelligence,don believe openai provides premise serving,lda,3,0.803802,0.063736,0.06482,0.067641,0.803802
115,43524234,Artificial Intelligence,wrong openai customer noncompete,lda,2,0.414909,0.083355,0.413579,0.414909,0.088157
116,43518664,Artificial Intelligence,feel comfortable uploading family images openai servers,lda,3,0.890759,0.035841,0.035734,0.037665,0.890759
117,43516422,Artificial Intelligence,line openai 157b anthropic 61b,lda,2,0.810553,0.063881,0.062531,0.810553,0.063035
118,43511245,Artificial Intelligence,sam altman doesn openai reddit lol,lda,2,0.844859,0.050018,0.05166,0.844859,0.053462
119,43507222,Artificial Intelligence,anthropic doing open ai work ghibli ai images company,lda,2,0.91408,0.02827,0.028424,0.91408,0.029227
120,43490774,Artificial Intelligence,openai making announcements good,lda,2,0.80784,0.063308,0.065838,0.80784,0.063013
121,43489492,Artificial Intelligence,openai wrong tool thing,lda,3,0.840365,0.050571,0.056364,0.052699,0.840365
122,43055324,Artificial Intelligence,coverage meta plans investments ai driven humanoid robots,lda,2,0.847197,0.050209,0.050027,0.847197,0.052567
123,42889554,Artificial Intelligence,small llm means small large language model,lda,2,0.906121,0.031366,0.031256,0.906121,0.031257
124,43538240,Artificial Intelligence,ai prompt engineering machine learning,lda,2,0.848646,0.0502,0.050982,0.848646,0.050173
125,43411257,Artificial Intelligence,machine learning pro version prejudice,lda,2,0.450859,0.050008,0.05001,0.450859,0.449123
126,43321983,Artificial Intelligence,kevin murphy racing rename probabilistic machine learning series,lda,2,0.849943,0.050016,0.050022,0.849943,0.050019
127,43317314,Artificial Intelligence,especially ai machine learning stack experts,lda,2,0.868968,0.041803,0.046459,0.868968,0.04277
128,43244871,Artificial Intelligence,profile guided optimization profiles machine learning approach,lda,2,0.809507,0.063761,0.064178,0.809507,0.062555
129,43177980,Artificial Intelligence,statistical regression machine learning,lda,2,0.56898,0.062528,0.062534,0.56898,0.305958
130,43164870,Artificial Intelligence,implemented sort machine learning,lda,2,0.81075,0.062523,0.064194,0.81075,0.062533
131,42559688,Artificial Intelligence,deepseek like lots models trained using chatgpt input output pairs,lda,2,0.903106,0.032759,0.031258,0.903106,0.032876
132,42548116,Artificial Intelligence,chatgpt generate lists use cases,lda,3,0.74919,0.083335,0.083336,0.084139,0.74919
133,42546904,Artificial Intelligence,facebook chatgpt opposite kinds products,lda,3,0.41709,0.087264,0.410429,0.085218,0.41709
134,42544502,Artificial Intelligence,pay chatgpt teams easier better,lda,2,0.843105,0.050501,0.052562,0.843105,0.053832
135,42561466,Artificial Intelligence,makes wonder openai moat,lda,2,0.845648,0.050376,0.052498,0.845648,0.051478
136,42551167,Artificial Intelligence,zero faith openai respects attempts block scrapers,lda,2,0.809649,0.064134,0.063196,0.809649,0.063021
137,42545494,Artificial Intelligence,sorry does openai tech moat,lda,2,0.845111,0.05046,0.052462,0.845111,0.051967
138,42536219,Artificial Intelligence,wrong openai working conditions,lda,1,0.648678,0.050015,0.648678,0.249028,0.052279
139,42536143,Artificial Intelligence,gov bed openai,lda,2,0.621073,0.125002,0.125003,0.621073,0.128922
140,42536121,Artificial Intelligence,hope seriously investigate openai working conditions,lda,1,0.648,0.050686,0.648,0.249379,0.051934
141,42529485,Artificial Intelligence,ms preparing fallback plan openai,lda,2,0.809249,0.062535,0.064233,0.809249,0.063983
142,42526100,Artificial Intelligence,o1 o3 new models openai,lda,2,0.809574,0.064913,0.062508,0.809574,0.063005
143,42480012,Artificial Intelligence,llm large language model language,lda,2,0.874988,0.04167,0.041671,0.874988,0.041671
144,42363586,Artificial Intelligence,machine learning solutions somewhat similar self modifying code,lda,2,0.899629,0.032647,0.03645,0.899629,0.031274
145,42345948,Artificial Intelligence,lora low rank adaptation technique efficiently finetuning machine learning models,lda,2,0.847615,0.052367,0.050008,0.847615,0.05001
146,42322121,Artificial Intelligence,machine learning ai subset definition,lda,2,0.874426,0.042118,0.041675,0.874426,0.04178
147,42280984,Artificial Intelligence,congratulations machine learning communities online,lda,2,0.848196,0.050019,0.050024,0.848196,0.051761
148,42256754,Artificial Intelligence,machine learning equal human infant development stop,lda,2,0.84908,0.050012,0.050414,0.84908,0.050494
149,42155892,Artificial Intelligence,sounds like failure mode machine learning,lda,2,0.890531,0.037497,0.036151,0.890531,0.03582
150,42150649,Artificial Intelligence,used youtube api machine learning,lda,2,0.84851,0.050766,0.050008,0.84851,0.050716
151,41702096,Artificial Intelligence,exactly feed apology chatgpt ask,lda,3,0.810266,0.063056,0.062513,0.064165,0.810266
152,41697025,Artificial Intelligence,really citing chatgpt comments,lda,3,0.455064,0.06369,0.416355,0.064891,0.455064
153,41693058,Artificial Intelligence,summary site looks like chatgpt,lda,0,0.649098,0.649098,0.050197,0.051469,0.249236
154,41692479,Artificial Intelligence,openai coo says chatgpt passed 11 million paying subscribers,lda,3,0.888492,0.035973,0.035734,0.039801,0.888492
155,41691802,Artificial Intelligence,chatgpt verilog analysis debugging generation,lda,2,0.802636,0.06471,0.062533,0.802636,0.070122
156,41684910,Artificial Intelligence,chatgpt search engine,lda,3,0.745977,0.084998,0.083353,0.085672,0.745977
157,41677984,Artificial Intelligence,ummm played chatgpt new voice mode,lda,2,0.80152,0.064867,0.062513,0.80152,0.0711
158,41701192,Artificial Intelligence,just taking guess openai wanted trillion valuation,lda,1,0.465652,0.051588,0.465652,0.430441,0.052318
159,41692438,Artificial Intelligence,openai 10m paying customers according,lda,2,0.811032,0.06252,0.062526,0.811032,0.063922
160,41685831,Artificial Intelligence,openai promised remain open forever,lda,2,0.742355,0.084529,0.083345,0.742355,0.089771
161,41684990,Artificial Intelligence,gpt4o unrealistic scale openai isn making profit running,lda,1,0.716567,0.037092,0.716567,0.209774,0.036567
162,41682467,Artificial Intelligence,nvidia triton predates openai years,lda,2,0.798709,0.071297,0.062541,0.798709,0.067453
163,41677914,Artificial Intelligence,deepmind producing science vapourware openai changing world,lda,3,0.843453,0.051285,0.051514,0.053749,0.843453
164,41673789,Artificial Intelligence,openai left,lda,2,0.621073,0.125002,0.125003,0.621073,0.128922
165,41682067,Artificial Intelligence,machine learning people thing triton challenge impossible,lda,2,0.692325,0.036119,0.036235,0.692325,0.235321
166,41624919,Artificial Intelligence,like machine learning street talk discord server,lda,2,0.89085,0.037698,0.035725,0.89085,0.035727
167,41438315,Artificial Intelligence,austin texas python data analysis machine learning,lda,2,0.706717,0.042697,0.208903,0.706717,0.041683
168,41230072,Artificial Intelligence,kind ai machine learning used,lda,2,0.874256,0.042301,0.041671,0.874256,0.041772
169,41203134,Artificial Intelligence,does work data science machine learning,lda,2,0.582626,0.036048,0.340238,0.582626,0.041088
170,41065134,Artificial Intelligence,academic outcomes resist machine learning,lda,2,0.749996,0.083334,0.083335,0.749996,0.083335
171,40841166,Artificial Intelligence,chatgpt good replacement seo experts,lda,2,0.801516,0.062512,0.063183,0.801516,0.07279
172,40839264,Artificial Intelligence,did asked chatgpt lol,lda,2,0.843718,0.051374,0.05002,0.843718,0.054888
173,40813371,Artificial Intelligence,hopefully quality translations improve deepl chatgpt,lda,3,0.419982,0.411371,0.083398,0.085249,0.419982
174,40810145,Artificial Intelligence,contra chatgpt characterization mohammedanism submission xhaxha,lda,3,0.622169,0.125002,0.125002,0.127827,0.622169
175,40807992,Artificial Intelligence,chatgpt says capacity pro think,lda,3,0.847785,0.051979,0.050008,0.050227,0.847785
176,40796141,Artificial Intelligence,100 asked chatgpt write comment,lda,0,0.526574,0.526574,0.045394,0.043294,0.384738
177,40774885,Artificial Intelligence,tired posts written chatgpt,lda,0,0.559919,0.559919,0.062528,0.064758,0.312795
178,40765626,Artificial Intelligence,chatgpt run away cat,lda,3,0.80919,0.062524,0.063721,0.064564,0.80919
179,40826675,Artificial Intelligence,agi eventually comes openai starting doubt,lda,2,0.735014,0.083382,0.097115,0.735014,0.084489
180,40819879,Artificial Intelligence,openai track shipping,lda,2,0.810553,0.06386,0.06254,0.810553,0.063046
181,40807483,Artificial Intelligence,soon does require openai good,lda,3,0.469143,0.041892,0.041679,0.447287,0.469143
182,40806902,Artificial Intelligence,presumably anthropic claude openai gpt google deepmind gemini,lda,2,0.914901,0.02798,0.02788,0.914901,0.029238
183,40802916,Artificial Intelligence,update 5k requests minute openai right,lda,2,0.735261,0.090125,0.090185,0.735261,0.08443
184,40795462,Artificial Intelligence,openai got exposure did meta ask return,lda,3,0.501615,0.043057,0.041679,0.413648,0.501615
185,40777981,Artificial Intelligence,openai transformation research lab typical product company complete,lda,2,0.86846,0.045052,0.043891,0.86846,0.042597
186,40755392,Artificial Intelligence,ai artificial yes intelligence hell,lda,0,0.496819,0.496819,0.050595,0.40228,0.050306
187,39924872,Artificial Intelligence,official term ai 2 0 double artificial zero intelligence,lda,0,0.903667,0.903667,0.031266,0.033572,0.031495
188,39904589,Artificial Intelligence,just openai reconfirming commitment closed artificial intelligence,lda,0,0.696898,0.696898,0.042256,0.217198,0.043648
189,40732238,Artificial Intelligence,worked machine learning got rebranded ai,lda,2,0.846279,0.051279,0.050007,0.846279,0.052435
190,40690548,Artificial Intelligence,great target machine learning driven automation,lda,2,0.849349,0.050008,0.050144,0.849349,0.050499
191,40640302,Artificial Intelligence,love use machinelearning apple com ai apple com,lda,3,0.903581,0.032128,0.031259,0.033032,0.903581
192,40614395,Artificial Intelligence,result machine learning,lda,2,0.749996,0.083334,0.083335,0.749996,0.083335
193,40612280,Artificial Intelligence,consider llms machine learning,lda,2,0.849966,0.05001,0.05001,0.849966,0.050014
194,40598145,Artificial Intelligence,necessarily machine learning make accidents faster,lda,2,0.873001,0.041681,0.041807,0.873001,0.043511
195,39881096,Artificial Intelligence,think good chance chatgpt,lda,3,0.52011,0.070291,0.062511,0.347088,0.52011
196,39858199,Artificial Intelligence,maybe use chatgpt make make sense,lda,3,0.716064,0.197887,0.043307,0.042742,0.716064
197,39850821,Artificial Intelligence,chatgpt better day trading probably,lda,2,0.870079,0.042325,0.042687,0.870079,0.04491
198,39841862,Artificial Intelligence,copilot gpt 4 free,lda,3,0.802968,0.06253,0.062535,0.071968,0.802968
199,39834432,Artificial Intelligence,page reads like written chatgpt,lda,0,0.707011,0.707011,0.041684,0.042818,0.208486
200,39834096,Artificial Intelligence,chatgpt puh leeze posts like,lda,0,0.560095,0.560095,0.062519,0.06556,0.311826
201,39834089,Artificial Intelligence,aware chatgpt4 json mode,lda,2,0.748436,0.084097,0.083362,0.748436,0.084105
202,39878089,Artificial Intelligence,agree openai tarpit project years,lda,3,0.843063,0.052141,0.051052,0.053744,0.843063
203,39875323,Artificial Intelligence,thought openai huge stickler office work,lda,3,0.843987,0.050566,0.052205,0.053242,0.843987
204,39874312,Artificial Intelligence,doesn fine tuning models gpt 4 output violate openai terms service,lda,2,0.902996,0.031509,0.033347,0.902996,0.032148
205,39867755,Artificial Intelligence,openai tts competitively priced 15 1m chars,lda,2,0.73868,0.09348,0.083379,0.73868,0.084462
206,39847676,Artificial Intelligence,probably openai running azure convoluted,lda,2,0.845154,0.051051,0.052617,0.845154,0.051179
207,39825078,Artificial Intelligence,openai lured away google way higher pay,lda,2,0.881727,0.035735,0.043633,0.881727,0.038905
208,39594291,Artificial Intelligence,machine learning artificial intelligence just look wikipedia,lda,0,0.640622,0.640622,0.031589,0.295547,0.032242
209,38830941,Artificial Intelligence,ai broad definition,lda,2,0.746721,0.086005,0.083352,0.746721,0.083922
210,39304797,Artificial Intelligence,small llm small large language model lol,lda,2,0.906059,0.031253,0.031254,0.906059,0.031433
211,39865855,Artificial Intelligence,look forward inevitable probabilistic sub bit machine learning models,lda,2,0.538999,0.031778,0.032686,0.538999,0.396537
212,39674036,Artificial Intelligence,machine learning models convolutions mark words,lda,2,0.849975,0.050007,0.050008,0.849975,0.05001
213,39638352,Artificial Intelligence,river online machine learning python,lda,2,0.849462,0.050012,0.050015,0.849462,0.050511
214,39599865,Artificial Intelligence,machine learning subset ai,lda,2,0.849638,0.050192,0.050008,0.849638,0.050162
215,38824639,Artificial Intelligence,topic control chatgpt like models explained,lda,2,0.840936,0.054276,0.05001,0.840936,0.054778
216,38822744,Artificial Intelligence,mark did good video chatgpt infra 1,lda,2,0.84562,0.050563,0.05001,0.84562,0.053807
217,38822261,Artificial Intelligence,chatgpt3 5 good enought context query,lda,2,0.749937,0.08335,0.083358,0.749937,0.083356
218,38822215,Artificial Intelligence,article reads like written chatgpt,lda,0,0.539783,0.539783,0.042952,0.043069,0.374195
219,38820491,Artificial Intelligence,chatgpt nice 5x speedup,lda,3,0.749173,0.08334,0.083341,0.084145,0.749173
220,38801459,Artificial Intelligence,building lol tiktok just got caught stealing chatgpt,lda,3,0.870506,0.043024,0.042707,0.043763,0.870506
221,38801350,Artificial Intelligence,comment generated chatgpt,lda,0,0.553331,0.553331,0.062563,0.067377,0.316729
222,38799059,Artificial Intelligence,finding information perplexity better chatgpt,lda,3,0.601556,0.051983,0.050397,0.296064,0.601556
223,38815248,Artificial Intelligence,isn openai distributing content apps,lda,1,0.558277,0.06578,0.558277,0.311537,0.064406
224,38785119,Artificial Intelligence,json mode function calling json schema openai api,lda,2,0.892062,0.035913,0.035726,0.892062,0.036299
225,38782171,Artificial Intelligence,significant differences attribution snippetting openai probably claim,lda,3,0.844516,0.050824,0.050456,0.054204,0.844516
226,38773902,Artificial Intelligence,new click bait openai negativity,lda,2,0.743311,0.088934,0.083347,0.743311,0.084408
227,38761563,Artificial Intelligence,wow late join openai,lda,2,0.803731,0.065982,0.067216,0.803731,0.063071
228,38754452,Artificial Intelligence,people finally realize openai privacy nightmare,lda,2,0.840462,0.051126,0.054907,0.840462,0.053504
229,38317215,Artificial Intelligence,openai non profit artificial intelligence research company noreferrer,lda,0,0.783275,0.783275,0.030432,0.15764,0.028653
230,38657666,Artificial Intelligence,large language models referred gpt models lol,lda,2,0.90598,0.031255,0.031256,0.90598,0.03151
231,38481360,Artificial Intelligence,turn large language model llm weights executables,lda,2,0.874976,0.041673,0.041675,0.874976,0.041676
